;url;city;rooms;restrooms;stratum;agent;property_code_Metro2;neighborhood_common;neighborhood_official;price;parking_places;age;area_built;area_private;admin_price;description
0;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-velodromo-5-habitaciones-4-banos-1-garajes/4673-27357;Medellín;5;4;5.0;ALBERTO ALVAREZ;4673-27357;Estadio;EL VELODROMO;1100000000;1;Entre 10 y 20 años;400.0;400.0;;Excelente casa para uso de oficinas, ubicada en exclusivo sector del Estadio. Es amplia, moderna, cuenta con dos niveles, parqueadero interno propio para guardar con seguridad el vehiculo. Es un sector tranquilo y elegante. Posee comodos espacios util...
1;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-velodromo-4-habitaciones-2-garajes/4673-30925;Medellín;4;5;;ALBERTO ALVAREZ;4673-30925;Velodromo;EL VELODROMO;1200000000;2;Entre 10 y 20 años;350.0;348.0;;Magnifica casa muy amplia con habitaciones con baño privado cada una, zona de entretenimiento, zona verde interna, closets en marmol, baños amplios, doble garaje con puerta electrica. dos niveles, muy iluminada y buena ventilacion, cocina con amplios ...
2;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-laureles-5-habitaciones/2511-V380;Medellín;5;5;;RASKCIELOS INMOBILIARIA Y CONSTRUCTORA;2511-V380;LAURELES;LAURELES;1500000000;0;Entre 10 y 20 años;420.0;420.0;;Casa con buenos espacios y acabados,muy iluminada y ventilada. Cuenta con buenas rutas de transporte y vías de acceso. Gracias por su interés en uno de nuestros inmuebles,RASKCIELOS Tiene para usted más ofertas inmobiliarias,contáctenos a través de nu...
3;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-3-habitaciones-5-banos-2-garajes/1265-3303132;Medellín;3;5;6.0;Casa 360;1265-3303132;San Lucas;SAN LUCAS;1190000000;2;Más de 20 años;274.0;274.0;1009000.0;CODIGO 3303FR132   Hermosa casa de 2 niveles en unidad cerrada, con áreas generosas y bien distribuidas. Amplia zona verde privada ideal para familias con mascotas o niños, también para quienes disfrutan hacer reuniones sociales en espacios abiertos, ...
4;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/2895-1386793;Medellín;3;4;6.0;MONOPOLIO INMOBILIARIO;2895-1386793;LOS BALSOS No.1;LOS BALSOS No.1;1500000000;2;Entre 5 y 10 años;320.0;320.0;;COD.16024    Linda casa unifamiliar en venta, con un área de 320 metros aproximadamente por confirmar sobre escrituras, sector Los Balsos en El Poblado, 1  piso, estrato 6 en Unidad Cerrada. Inmueble con excelente distribución y maravillosa iluminació...
5;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-castellana-4-habitaciones-3-banos/2895-2400026;Medellín;4;3;5.0;MONOPOLIO INMOBILIARIO;2895-2400026;LA CASTELLANA;LA CASTELLANA;690000000;0;Entre 10 y 20 años;306.0;306.0;;COD 19258 Maravillosa casa bifamiliar en venta, zona residencial de lindos antejardines ornamentales y arborizados, cercana a amplios espacios verdes, Parroquia Santa Gema, La Vaquita, Universidad Adventista, área de 306 metros aproximadamente, sector...
6;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-manila-3-habitaciones-3-banos-1-garajes/2895-M2360542;Medellín;3;3;3.0;MONOPOLIO INMOBILIARIO;2895-M2360542;BUENOS AIRES;MANILA;275000000;1;Entre 5 y 10 años;130.0;130.0;;"COD: 13690

Amplia casa bifamiliar en venta, con un área de 130 metros aproximadamente por confirmar sobre escrituras, en Buenos Aires, 1° piso, estrato 3 en edificio. Su interior nos ofrece zona social de sala comedor, tres alcobas con closet cada un..."
7;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-colina-3-habitaciones-2-banos-1-garajes/2895-2399984;Medellín;3;2;3.0;MONOPOLIO INMOBILIARIO;2895-2399984;LA COLINA;LA COLINA;257500000;1;Entre 10 y 20 años;88.0;88.0;105000.0;COD 19256 Estupenda casa unifamiliar en venta, zona campestre con extensa naturaleza a su alrededor para disfrutar del aire puro, especial para el deporte y esparcimiento familiar, fácil ingreso vehicular, área de 88 metros aproximadamente, sector La ...
8;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-abadia-3-habitaciones-3-banos-2-garajes/11014-M2763725;Medellín;3;3;6.0;VIVAREA SAS;11014-M2763725;LA ABADIA;LA ABADIA;850000000;2;Más de 20 años;185.69;185.69;424000.0;"*Venta de casa unifamiliar 2 niveles remodelada en Abadía, Poblado, 185.69 m2 construidos + patio, 3 habitaciones, 3 baños, cuarto útil, garaje doble paralelo, 4 años aproximados de remodelación, 30 años de construida, estrato 6.
Primer nivel: 2 salas..."
9;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-prado-5-habitaciones-3-banos-1-garajes/2895-1476001;Medellín;5;3;3.0;MONOPOLIO INMOBILIARIO;2895-1476001;PRADO;PRADO;400000000;1;Entre 5 y 10 años;220.0;220.0;;COD.16394    Grande casa unifamiliar en venta, excelentes espacios en tradicional zona residencial, con cercanía al centro de la ciudad, área de 220 metros aproximadamente, sector Prado, 1  piso, estrato 3. En su interior encontramos zona social de sa...
