ZoneName,adminPrice,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyAddress,companyId,companyName,contactPhone,floor,garages,latitude,longitude,neighborhood,numPictures,propAddress,propID,propType,propertyState,publicationStatus,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID
SurOriente,463000,,"Canchas Deportivas, En conjunto cerrado, Garaje(s), Parqueadero Visitantes, Porteria / Recepcion, Vista panoramica, Zonas Verdes","Balcon, Bano Auxiliar, Citofono, Cocina Integral, Cuarto de Servicio, Deposito / Bodega, Instalacion de gas, Sauna / Turco / Jacuzzi","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Campestre, Zona Comercial, Zona Residencial",480,5,,Venta,5500006,Medellin,"Jacuzzy,  cancha de futbol,  pisos en marmol. 4 garajes..",,,176092,Abad Faciolince S.A,,1,4,0,0,,19,CALLE 14 VIA LAS PALMAS,1575044,Casa,Used,,,,3,2990000000,,5,5500102
,595100,,"Garaje(s), Terraza",Balcon,,279,5,,Venta,5500006,Medellin,COD: 14049.,,,424324,Bancasa,,,,0,0,,24,SAN LUCAS  ,2872572,Casa,Used,,,,3,1055000000,,,0
NorOriente,0,,,,,179,2,,Venta,5500006,Medellin,"VENTA CASA EN MANRIQUE $195.000.000,  2deg y 3deg PISO CON PLANCHA,  6 ALCOBAS,  SALON  COMEDOR,  3 CLOSET,  BIBLIOTECA,  COCINA INTEGRAL,  PATIO Y PLANCHA,  RED DE GAS,  PISO EN CERAMICA,  BALCON,  2 BANOS,  ESTRATO 3,  AREA 179 METROS..",Manrique,,416189,Arrendamientos Alnago,,,,6.274655819,-75.55181885,Manrique,0,KRA 43  82-61,3931255,Casa,Used,,,,6,195000000,,3,5500103
SurOriente,0,,"Bahia exterior de parqueo, Vigilancia 24x7","Balcon, Calentador, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Deposito / Bodega, Instalacion de gas, Ventilacion Natural","Zona Comercial, Zona Residencial",320,3,16 a 30 anos,Venta,5500006,Medellin,"447-7684 CODIGO DEL INMUEBLE447-7684,  PREDIAL 3.000.000,  AVALUO CATASTRAL APROXIMADO UBICACION CERCA A INNOVO,  CERCA A EL CC SANTAFE,  FACIL ACCESO A LOS BALSOS Y A LA AGUACATALA. CASA DE 3 ALCOBAS,  3 BANOS,  CUARTO Y BANO DE SERVICIO,  1 VESTIER,  3 CLOSET,  SALA,  COMEDOR,  COCINA INTEGRAL,  ZONA DE ROPAS,  JARDIN,  BALCON,  2 PARQUEADEROS. PORTERIA 24 HORAS. LAS IMAGENES QUE AQUI APARECEN SON SOLO REFERENCIA DEL INMUEBLE QUE SE ESTA PROMOCIONANDO POR LO TANTO SE VENDE DESOCUPADO..",,,92629,Inmobiliaria Gomez y Asociados,,,2,6.19489193,-75.5743103,,25,LOS BALSOS CALLE 9 A SUR   37- 60,3931071,Casa,Used,,,,3,1800000000,,6,5500102
SurOriente,820000,,"En conjunto cerrado, Garaje / Parqueadero(s), Garaje(s), Terraza, Vigilancia 24x7, Zonas Verdes","Bano Independiente, Citofono, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Instalacion de gas, Zona de lavanderia","Trans. Publico cercano, Zona Residencial",400,4,16 a 30 anos,Venta,5500006,Medellin,"622-4969 Casa en venta ubicada en El Poblado sector El Tesoro.La propiedad cuenta con varias habitaciones para la comodidad de toda la familia e invitados.La terraza es ideal para tomar banos de sol,  realizar actividades al aire libre,  tener plantas o mascotas.Cuenta con parqueadero privado para guardar los vehiculos de forma segura y comoda.El cuarto util permiten almacenar elementos por fuera de la casa para mantener el orden sin tener que prescindir de estos elementos.Con porteria vigilada puedes dormir o salir de viaje con tranquilidad y sin preocupaciones..",,,29288,SANTAMARIA Y ASOCIADOS,,,2,6.191986084,-75.55615997,,11,EL TESORO CALLE 4 B SUR   13- 260,2978812,Casa,Used,,,,4,1900000000,,6,5500102
Centro,0,,"Garaje / Parqueadero(s), Garaje Cubierto, Piscina","Bano Auxiliar, Bano Independiente, Closet, Cocina Integral, Comedor, Hall de Alcobas, Instalacion de gas, Patio, Ventilacion Natural, Zona de lavanderia","Sobre via secundaria, Zona Residencial",330,4,16 a 30 anos,Venta,5500006,Medellin,"622-4940 excelente casa en arriendo,  sector calasanz cerca a la avenida 80 y con facil acceso a medios de transporte publico cuenta con patio externo de 90 metros,  turco con ante jardin,  5 alcobas y 3 de ellas con opcion de abrir para que quede salon,  piscina romana con hidrojet de jacuzzi. comodidades,  Sala con hall,  comedor independiente,  5 alcobas,  2 closet,  1 vestier,  2 banos privados,  2 social,  cocina integral,  red de gas,  zona de ropas,  2 patios cubiertos,  1 externo,  1 nivel,  garaje doble lineal,  piso en porcelanato,  piscina. .",,,29288,SANTAMARIA Y ASOCIADOS,,,2,6.22739172,-75.60166931,,19,CALASANZ CARRERA 81 B   51 A- 25,2966242,Casa,Used,,,,5,550000000,,5,5500101
,0,,Garaje(s),Patio,,316,4,,Venta,5500006,Medellin, - Identificador 15750.,,,424324,Bancasa,,,,0,0,,18,CONQUISTADORES  ,2873115,Casa,Used,,,,6,1700000000,,5,0
,338000,,"Garaje(s), Terraza","Balcon, Patio",,355,6,,Venta,5500006,Medellin, - Identificador 14250.,,,424324,Bancasa,,,,0,0,,20,LOS BALSOS No1  ,2872705,Casa,Used,,,,4,880000000,,,0
Occidente,0,,"Garaje(s), Jardin, Vivienda Bifamiliar, Zonas Verdes","Balcon, Bano Auxiliar, Calentador, Cocina Integral, Comedor auxiliar, Hall de Alcobas, Instalacion de gas, Patio, Piso en Baldosa /  Marmol, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Comercial, Zona Residencial",450,5,,Venta,5500006,Medellin,"Iluminada,  2 niveles,  area construida 450 m2,  area de lote 275m2 ( 9.50 x 29 ),  8 alcobas,  5 banos en total,  2 salas,  2 comedores,  cocina sencilla con red de gas,  zona de ropas,  2 patios,  piso en baldosa,  balcon,  parqueadero.  jardin interior. Cerca al exito de Laureles y San Juan. Buenas vias de acceso y buen transporte publico. Valor: $880.000.000 negociables. Son dos casas primer y segundo piso de 4 alcobas cada una,  que se venden juntas..",Laureles,,167485,Angeles Inmobiliaria,,,1,6.235783577,-75.57701111,Laureles,14,laureles lorena,3675051,Casa,Used,,,,8,880000000,,5,5500106
,0,,,"Bano de Servicio, Closet, Cocina Integral, Instalacion de gas",,220,3,,Venta,5500006,Medellin,..,,,29193,Arrendamientos Villacruz,,3,,0,0,,12,CL 30 81 141 PISO 3,3659098,Casa,Used,,,,4,390000000,,5,0
