ZoneName,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,areaPrivate,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyAddress,companyId,companyName,contactPhone,garages,latitude,longitude,neighborhood,propID,propType,propertyState,publicationStatus,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID
Suroriente,"Cerca centros comerciales, Cerca colegios / universidades, Cerca transporte público","Terraza/Balcón terraza, Vigilancia 24hrs","Alarma, Citófonos, Cuarto de servicio, Estudio o biblioteca, Hall de alcobas, Zona de lavandería, Instalación de gas natural, Tipo de casa tradicional, Tipo de comedor comedor independiente, Tipo de estufa electrica, Tipo acabado de piso otro, Tipo de piso en alcobas otro",,331,331,5,Entre 5 y 10 años,venta,3,Medellín,"Casa moderna para la venta en el sector de San Lucas el Poblado, cuenta con dos niveles, cuarto y bano de servicio, zona verde con buena vista, estudio, parqueadero cubierto con cuarto util. Unidad cerrada con zonas humedas y recreacion completas y cerca al Colegio Montessori y a la iglesia de San Lucas.",San Lucas,Calle 7 Sur  42 70 Of 303 Ed Forum,3260,Arrendamientos y Avaluos Umbral,3184984273,2,6.1720195,-75.56341,EL DIAMANTE No.2,Casa,3221-8755,Usado,S,,0,4,1650000000,Suroriente,6,38
Suroccidente,,"Cerca centros comerciales, Cerca colegios / universidades, Cerca parques, Cerca supermercados, Cerca transporte público, Zona residencial","Características del parqueadero cubierto, Estudio o biblioteca, Piso 1, Patio, Tipo de parqueadero propio",,123,123,2,Entre 10 y 20 años,venta,3,Medellín,"La casa cuenta con las siguientes comodidades: 3 Habitaciones cada una con Clóset( una de ellas con biblioteca) 2 Baños(remodelados) Cocina Integral(remodelada) 2 patios embaldosados, enrejados y uno de ellos cubierto con Domo. Sala - Comedor Garaje Eléctrico con cuatro útil Debajo de las escalas en la parte exterior cuenta para parqueadero de Moto con reja Servicios públicos (agua, luz, gas) Calentador de Agua a Gas. Se instalaron ojos de buey en LED en toda la casa. Excelente iluminación",Belén La Gloria,,,,3176992300,1,6.2271833,-75.60086,SAN BERNARDO,Casa,MC2790408,Usado,S,,0,3,430000000,Suroccidente,3,37
Suroriente,"Zona de BBQ, Zonas verdes","Baños de servicio, Depósito o cuarto útil, Jardín, Parqueadero visitantes, Piscina","Baño auxiliar, Características del parqueadero cubierto, Alarma, Chimenea, Cocina tipo americano, Cocina integral, Cuarto de servicio, Estudio o biblioteca, Sauna / turco, Zona de lavandería, Piso 2, Patio, Tipo de parqueadero propio","Cerca centros comerciales, Cerca colegios / universidades, Cerca parques, Cerca supermercados, Cerca transporte público, Zona campestre, Zona residencial",1000,1000,5,Entre 10 y 20 años,venta,3,Medellín,La Casa soñada para quienes buscan exclusividad y cercanía en un ambiente campestre Se aprecia toda la ciudad de la eterna primavera cerca a vías principales supermercados hoteles discotecas restaurantes y centros comerciales Ubicado en las palmas sector de alto crecimiento en su desarrollo vial y de expansión estructural Con una conectividad al valle de aburra y al oriente La propiedad tiene una área de 1000 mtrs construidos la mitad ideal para familias spa vacacional o eventos,EL POBLADO - Centro,,,,3113493343,2,6.217174,-75.566444,CASTROPOL,Casa,MC2789856,Usado,S,,0,5,2700000000,Suroriente,6,38
Suroriente,"Cancha(s) de basket, Cancha(s) de fútbol, Salón comunal, Zona para niños, Zonas verdes","Area lote 227 m², Area Terraza/Balcón 1 m², Circuito cerrado de TV, Jardín, Piscina, Conjunto cerrado, Número de Ascensores 0, Terraza/Balcón balcón, Vigilancia 24hrs","Citófonos, Cuarto de servicio, Estudio o biblioteca, Parqueadero cubierto, Puerta seguridad, Sauna / turco, Zona de lavandería, Instalación de gas natural, Closets 1, Número de líneas teléfonicas 0, Calentador gas, Tipo de casa condominio, Tipo de comedor comedor independiente, Deposito 1, Tipo de estufa gas, Tipo de parqueadero independiente, Tipo acabado de piso madera, Tipo de piso en alcobas madera, Vista exterior","Cerca transporte público, Sobre vía principal",227,227,3,Más de 20 años,venta,3,Medellín,"Casa en unidad cerrada en el sector de Los Parra, facil acceso desde esta misma via, cercana a Casa Victoria, servicios complementarios en el Mall Plaza, rutas de transporte publico. Calle muy tranquila, de poco flujo vehicular. Piso en madera, puerta de seguridad, tres niveles, sala y comedor independientes, biblioteca. 3 alcobas con baño en la principal, alcoba de servicio, cocina integral, balcon con terraza en el 2do nivel y jardin interno en el 1er nivel. Parqueaderos paralelos cubiertos. Piscina, gym, parque infantil, placa polideportiva, vigilancia 24 horas, citofonia y circuito cerrado de tv. incluye internet y tv. Ver más inmuebles similares en www prointegral com",EL POBLADO,Cra 43A  # 1Sur - 188,2669,PROINTEGRAL SA,3182458380,2,6.1987386,-75.56703,ALEJANDRIA,Casa,687-M2491255,Usado,S,0,0,3,830000000,Suroriente,6,38
Suroriente,Zona para niños,"Area lote 800 m², Area Terraza/Balcón 1 m², Circuito cerrado de TV, Jardín, Conjunto cerrado, Número de Ascensores 0, Terraza/Balcón terraza, Vigilancia 24hrs","Chimenea, Citófonos, Cuarto de servicio, Estudio o biblioteca, Parqueadero cubierto, Hall de alcobas, Zona de lavandería, Instalación de gas natural, Closets 1, Calentador gas, Tipo de casa condominio, Tipo de comedor comedor independiente, Deposito 0, Tipo de estufa gas, Tipo de parqueadero independiente, Tipo acabado de piso cerámica, Tipo de piso en alcobas porcelanato, Vista exterior","Cerca centros comerciales, Cerca supermercados, Cerca transporte público, Sobre vía principal",340,340,5,Más de 20 años,venta,3,Medellín,"Casa en unidad cerrada sector el Tesoro a solo una cuadra del centro comercial y una gran oferta de servicios complementarios, facil acceso desde la Superior, estrategica ubicacion y rutas de transporte publico. Cuenta con piso en ceramica y porcelanato, puerta de seguridad, sala y comedor independientes, chimenea, biblioteca, 4 alcobas con baño en cada una, tina, alcoba de servicio, terraza con buen jardin y parqueaderos independientes (2cubiertos) Unidad con parque infantil, zonas verdes, vigilancia 24horas, citofonia y circuito cerrado de tv . Ver más inmuebles similares en www prointegral com",poblado,Cra 43A  # 1Sur - 188,2669,PROINTEGRAL SA,3182458380,4,6.198577,-75.55718,LOS NARANJOS,Casa,687-M2472072,Usado,S,0,0,4,1850000000,Suroriente,6,38
Suroriente,Zonas verdes,"Area lote 700 m², Area Terraza/Balcón 85 m², Circuito cerrado de TV, Número de Ascensores 0, Terraza/Balcón terraza, Vigilancia 24hrs","Chimenea, Citófonos, Comedor auxiliar, Cuarto de servicio, Estudio o biblioteca, Hall de alcobas, Jacuzzi, Zona de lavandería, Instalación de gas natural, Closets 4, Número de líneas teléfonicas 0, Calentador gas, Tipo de casa condominio, Tipo de comedor comedor independiente, Deposito 3, Tipo de estufa gas, Tipo de parqueadero independiente, Tipo acabado de piso madera, Tipo de piso en alcobas madera, Vista exterior",,700,700,5,Entre 10 y 20 años,Venta y Arriendo,3,Medellín,"Casa en sector exclusivo de La Calera. Fácil acceso a servicios complementarios del Mall de Este y se puede acceder a través de la Superior. Cuenta con piso en madera, tres niveles, sala y comedor independiente, comedor auxiliar, chimenea, estudio, biblioteca, estar de tv, 6 alcobas mas la de servicio con baño en cada una, jacuzzi, cocina integral tipo americano, balcones y terraza parqueaderos independientes. Zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv.",EL POBLADO,Cra 43A  # 1Sur - 188,2669,PROINTEGRAL SA,3182458380,2,6.205254,-75.55436,EL TESORO,Casa,687-M2561422,Usado,S,8200000,8200000,5,2700000000,Suroriente,6,38
Nororiente,,,"Zona de lavandería, Instalación de gas natural, Closets 3, Tipo de casa tradicional, Tipo de cocina lineal, Tipo de comedor sala comedor, Tipo acabado de piso otro, Tipo de piso en alcobas otro, Vista exterior",,180,180,3,Más de 20 años,venta,3,Medellín,"Villa Hermosa casa segundo piso y terraza con principio de construcción de dos alcobas, la casa tiene tres alcobas dos baños, en muy buen estado, cerca al parque de Villa Hermosa, buen trasporte, cerca a zona comercial",Villa Hermosa,CLL 44 # 71-18,3497,URIVENTAS S.A.S,3147714100,0,6.25599,-75.55141,VILLA HERMOSA,Casa,4855-10259,Usado,S,0,0,3,280000000,Nororiente,3,36
Suroriente,,,"Zona de lavandería, Tipo de casa tradicional, Tipo de estufa gas",,145,145,3,Entre 5 y 10 años,venta,3,Medellín,"COD: 13685 Amplia casa unifamiliar en renta, con un área de 145 metros aproximadamente por confirmar sobre escrituras, en Boyacá Las Brisas, 1° piso, estrato 3. Sus tres iluminados dos niveles, nos ofrecen zona social de sala y comedor independientes, sala de estar, tres alcobas con closet cada una, tres baños sociales enchapados y cabinados en vidrio templado; funcional cocina integral mixta con extractor, anaqueles inferiores y superiores, red de gas, patio, zona de ropas, balcón y ventanales. Piso en cerámica, pintura en excelente estado.",BOYACA LAS BRISAS,CALLE 12 # 43 B 45,3003,MONOPOLIO INMOBILIARIO,3166904561,0,6.2132072,-75.56984,MANILA,Casa,2895-M2360608,Usado,S,0,0,3,215000000,Suroriente,3,38
Nororiente,,Terraza/Balcón balcón,"Calefacción, Zona de lavandería, Instalación de gas natural, Tipo de casa tradicional, Tipo de comedor sala comedor, Tipo acabado de piso marmol, Tipo de piso en alcobas otro",,59,59,3,Entre 10 y 20 años,venta,3,Medellín,"COD.17465 Confortable casa unifamiliar en venta, zona con aire campestre, cercana a la Parroquia Nuestra Señora del Encuentro, Mini mercado El Indio, Parque La Asomadera, área de 59 metros aproximadamente, sector El Salvador, 1 piso, estrato 3 en Unidad Cerrada con diferentes puertas de acceso. En sus tres niveles encontramos zona social de sala y comedor, cinco alcobas, dos baños privados y un baño social enchapados, uno de ellos cabinado y los otros con cortina, calentador de",SAN DIEGO,CALLE 12 # 43 B 45,3003,MONOPOLIO INMOBILIARIO,3166904561,0,6.23235,-75.564476,SAN DIEGO,Casa,2895-1889050,Usado,S,,0,5,176000000,Nororiente,2,36
Suroccidente,"Salón comunal, Zona para niños, Zonas verdes","Conjunto cerrado, Vigilancia 24hrs","Calefacción, Zona de lavandería, Instalación de gas natural, Tipo de casa tradicional, Tipo de comedor sala comedor, Tipo acabado de piso marmol, Tipo de piso en alcobas otro",,64,64,3,Entre 10 y 20 años,venta,3,Medellín,"COD 19308 Estupenda casa unifamiliar en venta, zona de gran proyección urbanística, inversión y rentabilidad, cercanía a vías principales, Planteles educativos, comerciales y esparcimiento familiar, área de 64 metros aproximadamente, sector Rodeo Alto en Belén, 1 piso, estrato 3 en Unidad Cerrada. Sus iluminados dos niveles nos ofrecen zona social de sala comedor, tres alcobas con closet cada una, dos baños privados y un baño social enchapados, cabinados en acrílico y cal",LA HONDONADA,CALLE 12 # 43 B 45,3003,MONOPOLIO INMOBILIARIO,3166904561,1,6.2042513,-75.60248,LA HONDONADA,Casa,2895-2401735,Usado,S,,0,3,195700000,Suroccidente,1,37
