ZoneName,adminPrice,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyId,companyName,floor,garages,latitude,longitude,neighborhood,numPictures,propAddress,propID,propType,propertyState,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID
Otros,300000,zonas verdes,terraza/balcon balcon,"calefaccion, tipo de casa tradicional, tipo de comedor sala comedor, tipo acabado de piso otro, tipo de piso en alcobas otro",,103,3,Más de 20 años,venta,3,Medellin,"Comoda casa en belen, en unidad cerrada, aparte de tener espacios abiertos e iluminados, posee una tranquilidad total. Facil de remodelar la cocina y baños para asi actualizarla. Ubicada en una zona muy central donde puedes desplazarte caminando a centros comerciales como los molinos y sus alrrededores, restaurantes, tiendas y supermercados cercanos y puedes ir a cualquier parte de la ciudad por el excelente transporte publico a su alrrededor y la cercania a todas las zonas del valle de aburra por estar en una ubicacion que asi lo permite facilmente. En unidad cerrada muy segura y con muy buenos vecinos. NEGOCIABLE",Belen,4730,GUILLERMO DUQUE INMOBILIARIA,,2,6.2334685,-75.60023,MIRAVALLE,,,887-3483661,Casa,Usado,,0,3,500000000,Otros,null,102
Norte,732000,zonas verdes,"circuito cerrado de tv, jardin, piscina, vista panoramica, conjunto cerrado, terraza/balcon terraza, vigilancia 24hrs","alarma, calefaccion, chimenea, citofonos, comedor auxiliar, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, jacuzzi, sauna / turco, zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor sala comedor, tipo acabado de piso marmol, tipo de piso en alcobas otro",sobre via principal,750,5,Entre 10 y 20 años,venta,3,Medellin,"Espectacular casa en unidad cerrada, privacidad y confort en este paraíso rodeado de naturaleza y cercano a la ciudad. Ubicación privilegiada con excelentes rutas de acceso. 750 metros construidos, 1530 de lote, amplias áreas sociales, sala abierta a la zona hmeda, comedor, biblioteca, estar con cómoda terraza, 4 habitaciones amplias con baño y vestier, 3 habitaciones de servicio, 9 baños en total, cocina integral completamente dotada. En la parte de atrás cuenta con unas magnificas zonas hmedas, piscina, sauna, turco, jacuzzi, deck y zona BBQ. Portería 24 horas, rondero y cámaras de seguridad.",Las Palmas,5546,Laurel Group Inmobiliaria,,3,6.184822,-75.65538,,,,12154-1730977,Casa,Usado,,0,5,3500000000,Country,0,1
Suroccidente,239300,"salon comunal, zonas verdes","area lote 86 m2, area terraza/balcon 2 m2, circuito cerrado de tv, piscina, conjunto cerrado, numero de ascensores 0, terraza/balcon balcon","citofonos, zona de lavanderia, instalacion de gas natural, closets 3, numero de lineas telefonicas 0, calentador gas, tipo de casa tradicional, tipo de cocina lineal, tipo de comedor sala comedor, deposito 0, tipo de estufa mixta, tipo de parqueadero propio, tipo acabado de piso ceramica, vista exterior","cerca centros comerciales, cerca colegios / universidades, cerca parques, cerca supermercados, cerca transporte publico, sobre via secundaria",86,3,Entre 10 y 20 años,venta,3,Medellin,"Casa de 2 niveles, Bonita tiene 3 alcobas, todas con closet, 3 baños, cocina integral, en unidad cerrada, portería 24 horas.",BELEN DE LA MOTA,5369,K'DUEL BIENES RAICES S.A.S,,1,6.2088666,-75.59866,LA MOTA,,,11475-M2719439,Casa,Usado,0,0,3,395000000,Suroccidente,4,37
Suroriente,700000,"sendero peatonal, zonas verdes","area lote 3300 m2, area terraza/balcon 20.00 m2, acceso para discapacitados, circuito cerrado de tv, jardin, piscina, vista panoramica, conjunto cerrado, numero de ascensores 0, terraza/balcon terraza, vigilancia 24hrs","apto para ninos, chimenea, citofonos, tipo de cortinas ninguna, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, zona de lavanderia, instalacion de gas natural, closets 4, numero de lineas telefonicas 1, se permite fumar, calentador gas, tipo de casa condominio, tipo de cocina abierta, tipo de comedor sala comedor, deposito 1, tipo de estufa electrica, tipo de parqueadero propio, tipo acabado de piso marmol, tipo de piso en alcobas madera, tipo de piso en comedor marmol, tipo de piso en estudio madera, tipo de piso en sala marmol, vista exterior","cerca centros comerciales, cerca colegios / universidades, cerca parques, cerca supermercados, cerca transporte publico, sobre via secundaria",580,5,Entre 10 y 20 años,venta,3,Medellin,"Venta de casa en El Poblado, Las palmas cerca a la colegiatura , casa de 580 m2 en un lote de 3.300 m2 de 6 alcobas mas alcoba de servicio, sala comedor , estudio, cocina integral en isla, piscina privada , jacuzzi , parqueaderos y cuarto útil.
En unidad cerrada con portería 24horas,vías internas pavimentadasy zona verde.
A solo 5 minutos del centro comercial el tesoro y sin pico y placa.",EL POBLADO LAS PALMAS,3809,Jorge  Gomez Propiedad Raiz,,4,6.216338,-75.55202,ALTOS DEL POBLADO,,,5570-M2671169,Casa,Usado,0,0,5,3300000000,Suroriente,6,38
Suroccidente,,,,"zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor comedor independiente, tipo acabado de piso baldosa, tipo de piso en alcobas baldosa",,105,2,Entre 10 y 20 años,venta,3,Medellin,"Casa ubicada en Belen la Gloria, sector tranquilo. Faciles vías de acceso a la Avenida principal. Segundo piso, espacios distribuidos en tres alcobas una de estas con baño privado, baño social,  comedor independiente, cocina integral, zona de ropas y balcón. Código Abad Faciolince CAS uno, siete, siete, ocho.",Belen,3664,Abad Faciolince  S.A,,0,6.224438,-75.599556,LA GLORIA,,,5136-25231,Casa,Usado,,0,3,280000000,Suroccidente,3,37
Suroriente,470000,"zona para ninos, zonas verdes","area lote 116 m2, area terraza/balcon 1 m2, circuito cerrado de tv, conjunto cerrado, numero de ascensores 0, terraza/balcon balcon, vigilancia 24hrs","citofonos, estudio o biblioteca, parqueadero cubierto, hall de alcobas, zona de lavanderia, instalacion de gas natural, closets 1, calentador gas, tipo de casa condominio, tipo de comedor comedor independiente, deposito 1, tipo de estufa gas, tipo de parqueadero independiente, tipo acabado de piso ceramica, tipo de piso en alcobas ceramica, vista exterior","cerca supermercados, cerca transporte publico, sobre via secundaria",116,3,Entre 5 y 10 años,venta,3,Medellin,"Casa en unidad cerrada sobre la Loma de San Julian con facil acceso desde la Av el Poblado y desde Palmas, cercana a supermercados y multiples servicios complementarios. Rutas de transporte publico. Piso en ceramica, tres niveles, sala comedor, estudio, 3 alcobas con baño social, cocina integral, balcon con terraza cubierto y parqueaderos lineales cubiertos. Parque infantil, amplias zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv.
Ver más inmuebles similares en  www prointegral com  ",poblado,2669,PROINTEGRAL SA,,2,6.2247386,-75.56589,SAN DIEGO,,,687-M2459582,Casa,Usado,0,0,3,400000000,Suroriente,5,38
,1092000,"zona para ninos, zonas verdes","area lote 450 m2, area terraza/balcon 1 m2, circuito cerrado de tv, jardin, conjunto cerrado, numero de ascensores 0, terraza/balcon balcon, vigilancia 24hrs","ancho 0 m, chimenea, citofonos, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, puerta seguridad, zona de lavanderia, fondo 0 m, instalacion de gas natural, closets 2, numero de lineas telefonicas 0, calentador gas, tipo de casa condominio, tipo de comedor comedor independiente, deposito 2, tipo de estufa gas, tipo de parqueadero independiente, tipo acabado de piso marmol, tipo de piso en alcobas madera, vista exterior",,376,5,Entre 10 y 20 años,venta,3,Medellin,"Casa en unidad cerrada en la Calera sector exclusivo con fácil acceso desde la Superior y cercano a los colegios Marymount y Los Cedros. Sector tranquilo, transito de solo residentes Piso en mármol y madera, dos niveles, puerta de seguridad, sala y comedor independientes, chimenea, estudio, estar de tv, 4 alcobas mas la de servicio con baño en cada una, tina, cocina integral, amplio balcón y terraza, parqueaderos paralelos cubiertos. Unidad con parque infantil, zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv.",EL POBLADO,2669,PROINTEGRAL SA,,3,6.17987,-75.6619,EL POBLADO,,,687-M2580952,Casa,Usado,0,0,4,2250000000,,6,
Suroriente,214000,"cancha(s) de squash, salon comunal, zona para ninos, zonas verdes","area lote 280 m2, circuito cerrado de tv, jardin, piscina, conjunto cerrado, vigilancia 24hrs","citofonos, comedor auxiliar, tipo de cortinas pesadas, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, sauna / turco, zona de lavanderia, instalacion de gas natural, closets 0, numero de lineas telefonicas 0, calentador gas, tipo de casa condominio, tipo de comedor comedor independiente, tipo de estufa electrica, tipo de parqueadero independiente, tipo acabado de piso porcelanato, tipo de piso en alcobas marmol, tipo de piso en estudio madera, vista interior",sobre via principal,280,4,Entre 0 y 5 años,venta,3,Medellin,"Excelente ubicación de casa en altos del escobero.  cuenta con bellas zonas verdes, acceso exclusivo y tranquilo, cuenta con zonas sociales amplias, piscina , canchas de squash, sauna y turco .",EL POBLADO,2669,PROINTEGRAL SA,,4,6.201254,-75.57265,PATIO BONITO,,,687-I1868642,Casa,Usado,0,0,3,940000000,Suroriente,6,38
Noroccidente,0,,,tipo de casa tradicional,,269,5,Entre 10 y 20 años,venta,3,Medellin,"Casa unifamiliar con 269 M² para la venta tiene 6 alcobas, 6 baños, cocina integral, horno, calentador a gas, 6 salas, comedor, sala-comedor, estudio-biblioteca, sala tv, 4 patios, parqueadero.
casa con muy buenos espacios cerca a iglesia san Pedro y San Pablo. Cuarta brigada.
Favor Comunicarse al 310 -473 – 11 - 45
",FLORESTA,2956,RASKCIELOS INMOBILIARIA Y CONSTRUCTORA,,1,6.2585073,-75.59601,ESTADIO,,,2511-M1985466,Casa,Usado,0,0,5,1180000000,Noroccidente,5,35
Nororiente,600000,zonas verdes,"area lote 3330 m2, area terraza/balcon 1 m2, circuito cerrado de tv, jardin, piscina, vista panoramica, conjunto cerrado, terraza/balcon balcon, vigilancia 24hrs","citofonos, comedor auxiliar, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, jacuzzi, sauna / turco, zona de lavanderia, instalacion de gas natural, numero de lineas telefonicas 0, calentador gas, tipo de casa condominio, tipo de comedor comedor independiente, deposito 1, tipo de estufa mixta, tipo de parqueadero independiente, tipo acabado de piso marmol, tipo de piso en alcobas madera, vista exterior","cerca colegios / universidades, cerca transporte publico, sobre via principal",580,5,Entre 10 y 20 años,venta,3,Medellin,"Casa en unidad cerrada en las Palmas. Ubicacion estrategica en ambiente campestre, con facil acceso desde via principal, cerca al restaurante Chuscalito. Piso en marmol y madera, modernos acabados, puerta de seguridad, dos niveles, hall de acceso, sala y comedor independientes, amplios espacios sociales, estudio, estar de tv, 4 alcobas con baño en la principal, cocina integral, balcon y parqueaderos descubiertos. Piscina dentro de la casa. Amplias zonas verdes, vigilancia 24 horas, citofonia ",EL POBLADO,2669,PROINTEGRAL SA,,4,6.2169185,-75.552475,ALTOS DEL POBLADO,,,687-M2040735,Casa,Usado,0,0,4,3400000000,Nororiente,6,36
