adminPrice,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyId,companyName,firstCapture,floor,garages,lastCapture,latitude,longitude,neighborhood,numPictures,propAddress,propID,propType,propertyState,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,timeMarket,zoneID,zoneName
463000,,"Canchas Deportivas, En conjunto cerrado, Garaje(s), Parqueadero Visitantes, Porteria / Recepcion, Vista panoramica, Zonas Verdes","Balcon, Bano Auxiliar, Citofono, Cocina Integral, Cuarto de Servicio, Deposito / Bodega, Instalacion de gas, Sauna / Turco / Jacuzzi","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Campestre, Zona Comercial, Zona Residencial",480.0,5,,VENTA,5500006,MEDELLIN,"jacuzzy,  cancha de futbol,  pisos en marmol. 4 garajes..",,176092,ABAD FACIOLINCE S.A,18-03-2021,1,4,18-03-2021,0,0,,19,CALLE 14 VIA LAS PALMAS,1575044,CASA,USED,,,3,2990000000,,5,1,5500102,SURORIENTE
500000,,"Garaje(s), Terraza",,,353.0,6,,VENTA,5500006,MEDELLIN,cod: 14357.,,424324,BANCASA,18-03-2021,,,18-03-2021,0,0,,13,LAS PALMAS  ,2872793,CASA,USED,,,4,1300000000,,,1,0,
595100,,"Garaje(s), Terraza",Balcon,,279.0,5,,VENTA,5500006,MEDELLIN,cod: 14049.,,424324,BANCASA,18-03-2021,,,18-03-2021,0,0,,24,SAN LUCAS  ,2872572,CASA,USED,,,3,1055000000,,,1,0,
0,,"Bahia exterior de parqueo, Vigilancia 24x7","Balcon, Calentador, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Deposito / Bodega, Instalacion de gas, Ventilacion Natural","Zona Comercial, Zona Residencial",320.0,3,16 a 30 anos,VENTA,5500006,MEDELLIN,"447-7684 codigo del inmueble447-7684,  predial 3.000.000,  avaluo catastral aproximado ubicacion cerca a innovo,  cerca a el cc santafe,  facil acceso a los balsos y a la aguacatala. casa de 3 alcobas,  3 banos,  cuarto y bano de servicio,  1 vestier,  3 closet,  sala,  comedor,  cocina integral,  zona de ropas,  jardin,  balcon,  2 parqueaderos. porteria 24 horas. las imagenes que aqui aparecen son solo referencia del inmueble que se esta promocionando por lo tanto se vende desocupado..",,92629,INMOBILIARIA GOMEZ Y ASOCIADOS,18-03-2021,,2,18-03-2021,6.19489192962646,-75.5743103027344,,25,LOS BALSOS CALLE 9 A SUR   37- 60,3931071,CASA,USED,,,3,1800000000,,6,1,5500102,SURORIENTE
820000,,"En conjunto cerrado, Garaje / Parqueadero(s), Garaje(s), Terraza, Vigilancia 24x7, Zonas Verdes","Bano Independiente, Citofono, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Instalacion de gas, Zona de lavanderia","Trans. Publico cercano, Zona Residencial",400.0,4,16 a 30 anos,VENTA,5500006,MEDELLIN,"622-4969 casa en venta ubicada en el poblado sector el tesoro.la propiedad cuenta con varias habitaciones para la comodidad de toda la familia e invitados.la terraza es ideal para tomar banos de sol,  realizar actividades al aire libre,  tener plantas o mascotas.cuenta con parqueadero privado para guardar los vehiculos de forma segura y comoda.el cuarto util permiten almacenar elementos por fuera de la casa para mantener el orden sin tener que prescindir de estos elementos.con porteria vigilada puedes dormir o salir de viaje con tranquilidad y sin preocupaciones..",,29288,SANTAMARIA Y ASOCIADOS,18-03-2021,,2,18-03-2021,6.19198608398438,-75.5561599731445,,11,EL TESORO CALLE 4 B SUR   13- 260,2978812,CASA,USED,,,4,1900000000,,6,1,5500102,SURORIENTE
0,,"Garaje / Parqueadero(s), Garaje Cubierto, Piscina","Bano Auxiliar, Bano Independiente, Closet, Cocina Integral, Comedor, Hall de Alcobas, Instalacion de gas, Patio, Ventilacion Natural, Zona de lavanderia","Sobre via secundaria, Zona Residencial",330.0,4,16 a 30 anos,VENTA,5500006,MEDELLIN,"622-4940 excelente casa en arriendo,  sector calasanz cerca a la avenida 80 y con facil acceso a medios de transporte publico cuenta con patio externo de 90 metros,  turco con ante jardin,  5 alcobas y 3 de ellas con opcion de abrir para que quede salon,  piscina romana con hidrojet de jacuzzi. comodidades,  sala con hall,  comedor independiente,  5 alcobas,  2 closet,  1 vestier,  2 banos privados,  2 social,  cocina integral,  red de gas,  zona de ropas,  2 patios cubiertos,  1 externo,  1 nivel,  garaje doble lineal,  piso en porcelanato,  piscina. .",,29288,SANTAMARIA Y ASOCIADOS,18-03-2021,,2,18-03-2021,6.22739171981812,-75.6016693115234,,19,CALASANZ CARRERA 81 B   51 A- 25,2966242,CASA,USED,,,5,550000000,,5,1,5500101,CENTRO
0,,"Cancha de Squash, En conjunto cerrado, Garaje Cubierto, Gimnasio, Parqueadero Visitantes, Piscina, Vigilancia privada 24*7, Zona Infantil, Zonas Verdes","Chimenea, Cuarto de Servicio, Estudio","Bombas de gasolina, Colegios / Universidades, Comodas vias de acceso, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",273.0,5,1 a 8 anos,VENTA,5500006,MEDELLIN,"espectacular casa en la urbanizacion lemont alto de palmas consta de sala-comerdor,  chimenea, tres habitaciones con vestier,  dos estudios con posibilidad de hacer una cuarta habitacion,  cinco banos,  alcoba del servicio,  zona de ropas,  lavaplatos electrico,  parqueadero cubierto para tres carros,  cuarto util. la urbanizacion cuenta con piscina climatizada cubierta,  gimnasio,  cancha de squash,  casa de juegos infantiles. area 1.020 m2. valor venta: $2.370.000.000..",,307898,ILAN INMOBILIARIA,18-03-2021,,3,18-03-2021,6.15299987792969,-75.5419998168945,,24,KM 15 + 750 ALTO DE PALMAS,4407029,CASA,USED,,,3,2370000000,,6,1,5500102,SURORIENTE
0,,,"Balcon, Piso en Baldosa /  Marmol","Colegios / Universidades, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",65.0,1,1 a 8 anos,VENTA,5500006,MEDELLIN,"vendo casa.cerca al bulevar de la 68. rutas de transporte cercanas.  con las siguientes comodidades:  sala,  comedor,  3 alcobas,  2 closet,  zona de ropas,  bano cabinado,  cocina sencillo,  red de gas,  balcon,  piso en ceramica,  2 y 3 piso unifamiliar.  codigo del inmueble espacio urbano: codigo particular del anunciante: norte.",,246679,ARRENDAMIENTOS PANORAMA LTDA,18-03-2021,2,,18-03-2021,6.29319047927856,-75.5704574584961,CASTILLA,11,CARRERA 67 97-136 INTERIOR 201,4397409,CASA,USED,,,3,150000000,,3,1,5500104,NOROCCIDENTE
500000,,"Garaje / Parqueadero(s), Garaje Cubierto, Garaje(s), Jardin, Piscina, Salon Comunal, Zonas Verdes","Bano de Servicio, Cocina Integral, Cuarto de Servicio, Instalacion de gas","Zona Campestre, Zona Residencial",500.0,2,,VENTA,5500006,MEDELLIN,"venta de casa en el sector de la calera,  3 niveles,  buen estado,  zona verde muy amplia. vista hermosa ubicado en unidad completa..",,28901,DUQUE GIRALDO Y CIAS S.A.S,18-03-2021,,1,18-03-2021,0,0,,22,CL 6 18 129 CS 153,3455699,CASA,USED,,,3,2000000000,,6,1,0,
-1773790777,,"Garaje(s), Terraza","Balcon, Cuarto de Servicio, Patio, Zona de lavanderia",,2.0,10,,VENTA,5500006,MEDELLIN,. cod: 22412.,,424324,BANCASA,18-03-2021,,,18-03-2021,0,0,,30,EL POBLADO  ,3456072,CASA,USED,,,10,3400000000,,6,1,0,
1000000,,"Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Jardin, Parqueadero Visitantes, Terraza, Vigilancia, Vista panoramica, Zonas Verdes","Aire Acondicionado, Balcon, Bano Auxiliar, Bano de Servicio, Calentador, Citofono, Cocina Integral, Comedor auxiliar, Cuarto de Servicio, Deposito / Bodega, Despensa, Estudio, Hall de Alcobas, Instalacion de gas, Patio, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",400.0,6,1 a 8 anos,VENTA,5500006,MEDELLIN,"casa en venta los balsos medellin    1.720 m2,  400 m2 contruidos,  sala,  comedor,  sala de estar,  sala de video,  biblioteca,  bar,  cocina integral en isla,  4 alcobas con bano y vestier,  alcoba de servicio con bano,  pisos en marmol y madera,  patio,  zona verde,  jardin..",,352786,INTERMOBILIARIO POBLADO SAS,18-03-2021,1,4,18-03-2021,6.19591808319092,-75.5697708129883,LOS BALSOS,24,CR. 15  19 SUR - 183,3482198,CASA,USED,,,5,3650000000,,6,1,5500102,SURORIENTE
450000,,"Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Parqueadero Visitantes, Salon Comunal, Vigilancia, Zonas Verdes","Balcon, Bano de Servicio, Cocina Integral, Cuarto de Servicio, Estudio, Instalacion de gas","Colegios / Universidades, Parques cercanos, Sobre via principal, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Comercial, Zona Residencial",105.0,5,16 a 30 anos,VENTA,5500006,MEDELLIN,"venta  de muy buena  casa  con  piso en  madera  . 3 habitaciones  todas  con bano .mas la del servicio 4  .sala  comedor  ,  con bano  social . cocina  integral en u ,  co minibar  en madera . patio de ropas.parqueadero  doble paralelo y  cuarto  util. parqueadero  de  visitantes  .  , salon  social .  zona  verde    con juegos  para  ninos  . lugar  muy tranquilo y  seguro. porteria  las 24.. horas  . zona  de  amplia  conectividad comercial  y  de  vias .opcion  de terraza. predia l450.000 trime.",,234026,GARCIA R Y ASOCIADOS,18-03-2021,,2,18-03-2021,6.18805313110352,-75.5763092041016,EL POBLADO,29,CARRERA 42 NUMER0 24 A 110,4778108,CASA,USED,,,4,380000000,,5,1,5500102,SURORIENTE
504000,,"En conjunto cerrado, Jardin, Zonas Verdes",,,177.0,4,1 a 8 anos,VENTA,5500006,MEDELLIN,.,,1462304,GSA INVERSIONES INMOBILIARIAS,18-03-2021,,2,18-03-2021,6.18225002288818,-75.5646591186523,SAN LUCAS,13,SAN LUCAS,4774411,CASA,USED,,,3,850000000,,5,1,5500102,SURORIENTE
570000,,"En conjunto cerrado, Garaje(s), Jardin, Salon Comunal, Vigilancia, Zonas Verdes","Bano Auxiliar, Calentador, Citofono, Cocina Integral, Cuarto de Servicio, Deposito / Bodega, Despensa, Instalacion de gas, Patio, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Comercial, Zona Residencial",288.0,5,9 a 15 anos,VENTA,5500006,MEDELLIN,"se vende preciosa casa en el sector galapagos,  en un lugar estrategico cerca a vias principales y en un sector muy tranquilo y residencial,  cuenta con tres habitaciones cada una con bano y vestier privado. cuenta con piscina propia y jacuzzi privado,  servicio de porteria las 24 horas....",,1163672,ISARCO PROPIEDADES,18-03-2021,1,4,18-03-2021,6.2120885848999,-75.5531997680664,ALTOS DEL POBLADO,17,CRA 23  11-49,4769300,CASA,USED,,,3,1400000000,,6,1,5500102,SURORIENTE
0,,,,,1000.0,0,9 a 15 anos,VENTA,5500006,MEDELLIN,"excelente casa en milla de oro,  cerca al hotel alejandria. sus comodidades son: estacionamiento para 10 vehiculos,  2 cubiertos,  3 bajo techo y los otros en la zona abierta. turco,  piscina,  zona de gimnasio,  4 habitaciones,  habitacion principal con jacuzzi,  una de visitante y dos de servicio. estudio biblioteca,  piso en marmol,  sala y comedor doble altura. valor venta: $4.000.000.000 area: 1.000 mt2.",,307898,ILAN INMOBILIARIA,18-03-2021,,10,18-03-2021,6.20100021362305,-75.572998046875,,18,CARRERA 43A SUR # 3 - 00,4744499,CASA,USED,,,4,4000000000,,6,1,5500105,SUROCCIDENTE
0,,"Piscina, Salon Comunal, Vigilancia 24x7, Zona Infantil","Balcon, Calentador, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Deposito / Bodega, Estudio, Instalacion de gas, Patio, Zona de lavanderia",,234.0,5,9 a 15 anos,VENTA,5500006,MEDELLIN,"447-8848 casa en unidad cerrada  ubicada en el poblado,  cerca al mall de la visitacion parque comercial el tesoro,  cuenta con un area aproximada de 234 metros,  2 niveles,  3 alcobas cada una con balcon y bano ,  la principal con vestier ,  las auxiliares con closet,  closet de linos,  cuarto y banos del servicio,  sala,  comedor,  estudio,  cocina integral con red de gas,  zona de ropas,  patio con zona verde privada,  jacuzzi privado en el patio. parqueadero doble lineal con posibilidad de paquear vehiculo adicional. la unidad cuenta con porteria 24 horas,  piscina salon social,  codigo del inmueble 447-8609. las imagenes que aqui aparecen son solo referencia del inmueble que se este promocionando por lo tato se vende desocupado. .",,92629,INMOBILIARIA GOMEZ Y ASOCIADOS,18-03-2021,,2,18-03-2021,4.70421028137207,-74.053840637207,,30,CALLE 1 B SUR   29 C- 81,4729932,CASA,USED,,,3,1150000000,,6,1,5500102,SURORIENTE
0,,Terraza,"Balcon, Cuarto de Servicio, Patio, Zona de lavanderia",,540.0,0,,VENTA,5500006,MEDELLIN,. cod: 24001.,,424324,BANCASA,18-03-2021,,,18-03-2021,0,0,,27,LOS COLORES  ,4055795,CASA,USED,,,5,1500000000,,3,1,0,
